spark_executor_cores,spark_driver_memory,spark_default_parallelism,spark_memory_fraction,spark_memory_storageFraction,spark_storage_replication_proactive,spark_broadcast_compress,spark_io_compression_codec,spark_rdd_compress,spark_reducer_maxSizeInFlight,spark_shuffle_spill_compress,spark_speculation,spark_broadcast_blockSize,spark_shuffle_compress,spark_executor_memory,spark_shuffle_file_buffer,spark_storage_memoryMapThreshold,spark_locality_wait,spark_task_maxFailures,spark_shuffle_sort_bypassMergeThreshold,spark_kryoserializer_buffer,spark_memory_offHeap_size,spark_scheduler_revive_interval,jvm_gc_collect,jvm_gc_timeratio,jvm_max_gc_pause,jvm_max_tenuringThreshold,jvm_new_ratio,jvm_par_gc_thread,jvm_survivor_ratio,Executor_Deserialize_Time,Executor_Deserialize_CPU_Time,Executor_Run_Time,Executor_CPU_Time,Result_Size,JVM_GC_Time,Result_Serialization_Time,Memory_Bytes_Spilled,Disk_Bytes_Spilled,Local_Blocks_Fetched,Fetch_Wait_Time,Remote_Bytes_Read,Local_Bytes_Read,Total_Records_Read,migrations,context-switches,cache-misses,cache-references,branch-misses,branch-load-misses,major-faults,minor-faults,page-faults,cycles,raw_syscalls_sys_enter,raw_syscalls_sys_exit,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,LLC-load-misses,LLC-store-misses,LLC-stores,node-load-misses,node-store-misses,mem-loads,mem-stores,branch-loads,run_times
3,1,32,0.75,0.5,0,1,2,0,48,1,0,4,1,1,32,2,3,4,200,64,10,1,1,99,200,3,2,3,8,779.471,15462040.348,2879.081,158347292.246,2255.8,18.374,0.092,0.0,0.0,4.491,89.654,963218.909,218723.235,27272.727,13819.667,231431.667,398448595.333,3862754354.667,409244197.667,412912735.667,58.0,308271.667,308365.333,53772176305.667,754066.0,754217.667,51159706253.667,1130902985.667,16350572885.0,6940241825.667,37406237.0,53490929.667,138502223.333,832.667,69.0,2384.0,6420235262.0,10029292119.0,79.166
1,1,8,0.3,0.3,0,0,0,0,2,0,0,2,0,1,2,2,2,3,100,2,10,1,0,19,100,1,1,1,1,2118.362,56761483.489,3555.292,158108518.693,2387.938,11.59,0.164,0.0,0.0,1.345,764.097,2729726.321,161182.77,27272.727,19276.667,280049.0,555918770.0,3947437664.667,438437459.333,451263713.0,53.667,304982.667,305099.333,70648484646.333,868702.667,868851.0,60466596805.0,1413275782.333,18130191346.0,7723008058.667,57476289.333,66368263.667,167672091.667,124.333,8.0,1078.333,7721962663.0,11436728355.333,99.925
8,6,128,0.9,0.9,1,1,2,1,128,1,1,128,1,6,128,200,10,10,1000,128,1024,50,3,99,500,15,9,8,9,351.475,8570848.823,2872.383,165568196.735,2248.299,31.794,0.078,0.0,0.0,8.303,361.157,777613.981,404328.163,27272.727,7516.333,75437.667,378827388.667,2704079927.0,359990849.333,358650673.0,42.0,518345.667,518417.0,49153746159.333,382676.0,382833.667,49409318118.333,1030436296.0,15091176928.333,6550971232.333,29581856.0,57988400.0,146212956.333,2618.0,1830.333,5513.333,6267002091.667,9613301234.667,66.939
4,4,68,0.6,0.6,1,1,1,1,65,1,1,65,1,4,65,101,6,6,550,65,517,26,2,59,300,8,5,4,5,156.337,6712086.571,1657.985,119749034.543,2241.327,38.963,0.064,0.0,0.0,10.199,61.121,681364.369,495628.62,27272.727,6483.667,78401.333,408028240.0,2607785900.667,342075770.667,346428268.333,46.667,282507.333,282586.667,46937787799.0,375701.333,375854.0,50646015758.667,964943801.0,15804930960.0,6675229981.667,36070085.0,45147150.333,126497922.667,39.333,61.333,883.667,5780255213.667,10099475595.333,71.71
7,2,17,0.72,0.7,1,0,2,0,47,1,0,41,0,2,105,71,7,4,682,15,135,32,3,53,372,11,2,4,2,311.662,8175824.069,4216.662,148269464.172,2244.331,43.331,0.078,0.0,0.0,8.112,1484.58,1923690.409,967218.682,27272.727,6053.667,76869.333,383436810.333,2628894751.0,361197839.333,362937239.0,43.667,305443.333,305508.333,45462966991.333,373925.0,374078.0,48715013797.333,999422544.333,14989381278.667,6710776042.333,33260227.0,47010946.0,123927200.333,1500.667,1447.333,3673.667,6164286847.667,9796524414.667,79.412
3,4,39,0.81,0.54,0,0,2,1,53,1,0,97,1,1,69,196,9,8,488,95,423,50,3,75,250,11,3,4,9,700.676,15381967.375,2631.66,164786807.484,2268.701,20.912,0.097,0.0,0.0,4.58,77.79,958808.491,223133.653,27272.727,7463.0,75224.667,380231440.667,2676329051.667,354878106.333,360501680.667,42.0,412896.333,412972.333,48728930738.667,373752.667,373907.0,50657715537.333,1035807757.667,15626559834.333,6835734620.333,33595626.667,43801730.667,129210244.667,1892.0,1254.333,5384.333,6437888679.667,9950730865.667,75.785
6,6,81,0.89,0.87,1,0,1,1,41,1,1,123,0,2,89,93,6,6,115,30,195,9,1,65,350,7,4,7,7,242.428,6768136.389,3050.553,104948230.678,2247.537,20.761,0.052,0.0,0.0,9.287,1148.513,1782786.295,1108122.795,27272.727,6390.333,91645.333,397943805.667,3091373219.667,398804809.667,396578449.667,45.667,334421.0,334502.333,54840837722.0,410972.333,411125.667,56414191098.667,1303525075.0,17936952254.667,7526643172.0,38142850.333,45149390.0,138419900.667,204.333,196.0,1319.667,6624247436.333,11818457197.0,77.137
3,3,97,0.59,0.47,1,0,2,1,86,1,1,95,1,3,124,29,9,9,827,26,1008,24,2,72,119,5,6,4,5,477.846,12019579.747,1988.485,140434063.524,2265.995,37.626,0.074,0.0,0.0,5.24,96.559,925645.545,256296.598,27272.727,7602.0,79148.333,420641555.333,2749886147.333,354612376.0,358419858.0,42.0,301573.333,301666.667,53361720724.333,380835.333,380990.333,56011357383.333,1089678062.0,16326553999.667,6751116624.667,40198695.667,60445331.0,147038996.0,103.667,69.667,845.667,6273188732.0,10856320850.0,68.516
5,5,57,0.54,0.81,1,0,1,1,37,0,1,53,1,3,110,131,4,7,898,73,509,16,0,51,427,1,3,2,5,204.352,6702264.435,1538.331,121399608.379,2238.866,63.353,0.072,0.0,0.0,8.834,140.292,747815.722,427696.772,27238.422,5943.0,78496.0,370783858.0,2562086112.0,350133882.0,354638456.0,38.667,245997.333,246061.333,44281243161.667,374490.0,374637.333,46948512270.0,951216543.333,14618673164.0,6301488433.0,30004754.667,38794149.0,112104076.667,32.333,76.333,1088.333,5693454041.667,9454970855.0,56.699
4,2,80,0.37,0.83,1,0,2,0,109,1,1,56,1,1,81,19,3,4,805,120,938,27,1,78,358,10,8,8,8,619.645,11299880.101,1804.841,136422239.097,2270.21,47.41,0.102,0.0,0.0,4.393,92.722,967499.997,214442.146,27272.727,7494.333,78300.333,377993525.0,2663078958.0,354185571.0,356800402.667,42.0,286034.667,286114.0,49342896896.333,376052.667,376209.667,48454500830.0,994398202.0,15029794821.667,6433556604.0,34592566.667,49695736.667,132444163.333,107.667,158.667,1237.667,5898534140.0,9693955179.0,66.364
